rank count word class
2432 3498 brilliant adjective
211 43894 bring verb
1488 6447 broad adjective
4091 1602 broadly adverb
3027 2479 broken adjective
4951 1209 bronze noun
864 11757 brother noun
4986 1194 brow noun
2088 4300 brown adjective
3941 1686 brush noun
3369 2115 brush verb
4490 1401 bucket noun
1078 9311 budget noun
418 23931 build verb
3768 1795 builder noun
496 20770 building noun
3424 2056 bulk noun
4807 1257 bull noun
4894 1227 bullet noun
4610 1344 bunch noun
2710 2988 burden noun
4028 1636 bureau noun
4256 1509 bureaucracy noun
1829 5091 burn verb
4813 1252 burning adjective
3030 2476 burst verb
2713 2987 bury verb
1428 6761 bus noun
3567 1933 bush noun
244 38204 business noun
3621 1895 businessman noun
1801 5221 busy adjective
23 459622 but conjunction
3439 2044 butter noun
3012 2503 button noun
394 25582 buy verb
2092 4285 buyer noun
2760 2898 by adverb
20 517171 by preposition
4042 1626 bye interjection
4290 1494 cab noun
4792 1262 cabin noun
1404 6900 cabinet noun
3353 2129 cable noun
3846 1755 cafe noun
2299 3773 cake noun
4921 1220 calcium noun
2246 3922 calculate verb
3227 2271 calculation noun
4660 1314 calendar noun
1096 9182 call noun
175 53396 call verb
4452 1416 calm adjective
4723 1288 calm verb
2296 3775 camera noun
2230 3957 camp noun
969 10441 campaign noun
4492 1400 campaign verb
37 266116 can modal
4005 1647 can noun
3681 1858 canal noun
3284 2205 cancel verb
2075 4323 cancer noun
1286 7618 candidate noun
4106 1589 candle noun
3110 2379 cap noun
3794 1783 capability noun
1876 4943 capable adjective
1525 6272 capacity noun
3573 1930 capital adjective
839 12188 capital noun
3595 1916 capitalism noun
3546 1946 capitalist noun
2317 3744 captain noun
2771 2881 capture verb
263 35295 car noun
2588 3170 car verb
4747 1281 caravan noun
3035 2470 carbon noun
1048 9632 card noun
557 18717 care noun
1519 6298 care verb
1065 9441 career noun
1803 5218 careful adjective
1350 7180 carefully adverb
3910 1713 carer noun
2635 3104 carpet noun
3084 2410 carriage noun
3638 1886 carrier noun
302 31258 carry verb
4781 1268 carve verb
140 63577 case noun
1216 8283 cash noun
2258 3882 cast verb
2526 3305 castle noun
3819 1769 casual adjective
3945 1684 casualty noun
1758 5377 cat noun
2705 2994 catalogue noun
701 14627 catch verb
1466 6566 category noun
3712 1837 cater verb
3412 2072 cathedral noun
2964 2566 cattle noun
1009 10006 cause noun
512 20091 cause verb
4622 1335 caution noun
4458 1413 cave noun
2806 2821 cease verb
2884 2715 ceiling noun
2440 3481 celebrate verb
3396 2087 celebration noun
773 13153 cell noun
577 17947 central adjective
400 25272 centre noun
4165 1554 centre verb
434 23259 century noun
3334 2142 ceremony noun
458 22297 certain adjective
560 18647 certainly adverb
4216 1532 certainty noun
2419 3533 certificate noun
1891 4890 chain noun
1034 9718 chair noun
1062 9503 chairman noun
1586 6021 challenge noun
2062 4351 challenge verb
2545 3245 chamber noun
4306 1487 champagne noun
2076 4318 champion noun
2050 4382 championship noun
622 16288 chance noun
3161 2332 chancellor noun
248 37884 change noun
351 28210 change verb
3827 1766 changing adjective
1951 4676 channel noun
4023 1637 chaos noun
3556 1939 chap noun
3657 1874 chapel noun
605 16860 chapter noun
818 12511 character noun
4541 1376 characterise verb
4489 1401 characteristic adjective
1745 5423 characteristic noun
4772 1270 characterize verb
616 16503 charge noun
1345 7206 charge verb
2180 4073 charity noun
4345 1470 charm noun
4513 1390 charming adjective
2963 2567 chart noun
3031 2475 charter noun
3528 1962 chase verb
4694 1298 chat verb
1550 6196 cheap adjective
2782 2866 check noun
1057 9566 check verb
2494 3368 cheek noun
4905 1224 cheer verb
2783 2864 cheese noun
4501 1396 chemical adjective
1802 5219 chemical noun
4924 1219 chemist noun
3687 1855 chemistry noun
2773 2879 cheque noun
2213 3996 chest noun
3072 2426 chicken noun
1502 6402 chief adjective
2084 4307 chief noun
121 71008 child noun
2789 2853 childhood noun
4027 1636 chin noun
2417 3535 chip noun
3093 2395 chocolate noun
746 13682 choice noun
608 16731 choose verb
4957 1204 chop verb
3925 1699 chronic adjective
444 23008 church noun
2395 3579 cigarette noun
3461 2026 cinema noun
1869 4967 circle noun
2549 3236 circuit noun
4689 1301 circulate verb
4225 1527 circulation noun
918 11009 circumstance noun
3224 2277 cite verb
1994 4532 citizen noun
477 21596 city noun
1166 8660 civil adjective
889 11412 claim noun
554 18828 claim verb
4532 1379 clarify verb
4056 1621 clash noun
412 24148 class noun
3225 2273 classic adjective
3641 1885 classic noun
2563 3215 classical adjective
3640 1885 classification noun
4169 1553 classify verb
2870 2735 classroom noun
2098 4272 clause noun
3929 1697 clay noun
1921 4801 clean adjective
2109 4246 clean verb
485 21260 clear adjective
1213 8302 clear verb
668 15349 clearly adverb
4593 1355 clergy noun
3301 2181 clerk noun
3022 2486 clever adjective
922 10948 client noun
3606 1908 cliff noun
2665 3060 climate noun
1767 5351 climb verb
3853 1750 cling verb
3260 2228 clinic noun
2702 2998 clinical adjective
2533 3279 clock noun
774 13106 close adjective
1277 7678 close adverb
664 15439 close verb
4296 1492 closed adjective
1714 5521 closely adverb
3239 2249 closure noun
3352 2130 cloth noun
1331 7308 clothes noun
3630 1892 clothing noun
2456 3448 cloud noun
511 20113 club noun
3519 1968 clue noun
4482 1404 cluster noun
4850 1240 clutch verb
2350 3648 cooperation noun
2434 3489 coach noun
4831 1246 coach verb
1774 5328 coal noun
3011 2503 coalition noun
2175 4081 coast noun
4536 1377 coastal adjective
2118 4212 coat noun
1682 5662 code noun
4582 1358 code verb
1461 6614 coffee noun
4848 1241 coffin noun
2975 2552 coin noun
4329 1474 coincide verb
1087 9227 cold adjective
2493 3371 cold noun
4509 1391 collaboration noun
3377 2107 collapse noun
3008 2508 collapse verb
4071 1611 collar noun
1344 7209 colleague noun
1298 7525 collect verb
1046 9639 collection noun
3431 2051 collective adjective
3977 1663 collector noun
1206 8375 college noun
4321 1479 colonial adjective
3403 2078 colony noun
667 15370 colour noun
3901 1719 colour verb
4147 1562 coloured adjective
2024 4456 column noun
1749 5404 combination noun
1638 5825 combine verb
4105 1590 combined adjective
66 151871 come verb
4168 1553 comedy noun
2827 2792 comfort noun
